epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.16173,2.57638,3.32162,2.23715,0.00778,0.24138,0.00192,0.00032,2.30142,3.43011,2.38122,0.000222222,0.000222222,0.078
2,15.3064,2.57994,3.25642,2.29816,0.00778,0.24138,0.00192,0.00032,2.30142,3.43011,2.38122,0.000528056,0.000528056,0.0449725
3,22.6192,2.60127,3.35789,2.1887,0.00778,0.24138,0.00192,0.00032,2.30142,3.43011,2.38122,0.000800889,0.000800889,0.011912
4,30.1047,2.59115,3.26441,2.25554,0.00778,0.24138,0.00192,0.00032,2.30142,3.43011,2.38122,0.0008515,0.0008515,0.0008515
5,36.4377,2.57198,3.29587,2.30311,0.01778,0.55172,0.01044,0.00362,2.0941,3.35774,2.2212,0.000802,0.000802,0.000802
6,42.0748,1.90937,2.79814,1.82419,0.01778,0.55172,0.01044,0.00362,2.0941,3.35774,2.2212,0.0007525,0.0007525,0.0007525
7,48.8838,2.07113,2.89593,1.88132,0.01778,0.55172,0.01044,0.00362,2.0941,3.35774,2.2212,0.000703,0.000703,0.000703
8,55.2323,2.06469,2.84194,1.93082,0.01778,0.55172,0.01044,0.00362,2.0941,3.35774,2.2212,0.0006535,0.0006535,0.0006535
9,61.0034,2.09409,2.84807,1.81415,0.01778,0.55172,0.01044,0.00362,2.0941,3.35774,2.2212,0.000604,0.000604,0.000604
10,65.9234,2.02527,2.67674,1.7652,0.02889,0.89655,0.19231,0.08118,1.64821,3.06258,1.65875,0.0005545,0.0005545,0.0005545
11,71.2907,1.80105,2.13086,1.50647,0.02889,0.89655,0.19231,0.08118,1.64821,3.06258,1.65875,0.000505,0.000505,0.000505
12,79.023,1.9521,2.1426,1.64999,0.02889,0.89655,0.19231,0.08118,1.64821,3.06258,1.65875,0.0004555,0.0004555,0.0004555
13,86.457,1.82319,2.18901,1.50429,0.02889,0.89655,0.19231,0.08118,1.64821,3.06258,1.65875,0.000406,0.000406,0.000406
14,93.0604,1.93344,2.14026,1.55624,0.02889,0.89655,0.19231,0.08118,1.64821,3.06258,1.65875,0.0003565,0.0003565,0.0003565
15,100.313,1.74126,1.96502,1.48166,0.31444,0.68966,0.65797,0.28845,1.49593,2.66893,1.35756,0.000307,0.000307,0.000307
16,107.467,1.68281,1.76414,1.40927,0.31444,0.68966,0.65797,0.28845,1.49593,2.66893,1.35756,0.0002575,0.0002575,0.0002575
17,115.028,1.77942,1.83648,1.46483,0.31444,0.68966,0.65797,0.28845,1.49593,2.66893,1.35756,0.000208,0.000208,0.000208
18,121.952,1.72866,1.76302,1.42566,0.31444,0.68966,0.65797,0.28845,1.49593,2.66893,1.35756,0.0001585,0.0001585,0.0001585
19,128.753,1.83851,1.9013,1.4418,0.84955,0.37931,0.79681,0.34666,1.57481,2.36439,1.27985,0.000109,0.000109,0.000109
20,135.362,1.77633,1.71747,1.45529,0.84955,0.37931,0.79681,0.34666,1.57481,2.36439,1.27985,5.95e-05,5.95e-05,5.95e-05
