epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.5707,2.18634,3.03925,1.75879,0,0,0,0,3.84996,4.22306,2.73545,0.000296296,0.000296296,0.0706667
2,64.7305,1.94599,2.51437,1.53053,0.01,0.31034,0.02003,0.00515,2.83929,3.46922,2.54592,0.000617163,0.000617163,0.0376542
3,112.984,1.88021,2.18632,1.51615,0.01667,0.51724,0.0669,0.02066,2.19127,3.14628,1.70795,0.00092483,0.00092483,0.00462853
4,155.077,1.91538,2.13608,1.48639,0.02222,0.68966,0.1808,0.03856,2.21967,3.1667,1.78169,0.0009406,0.0009406,0.0009406
5,195.965,1.79448,1.90043,1.45771,0.03222,1,0.82354,0.29634,1.78636,2.60623,1.57277,0.0009208,0.0009208,0.0009208
6,236.61,1.85068,1.88396,1.47478,0.80125,0.93103,0.96133,0.40701,1.73424,2.27838,1.53863,0.000901,0.000901,0.000901
7,279.316,1.78496,1.73617,1.43997,0.83441,0.69524,0.81056,0.24293,1.95969,2.29268,1.72619,0.0008812,0.0008812,0.0008812
8,318.503,1.85406,1.80395,1.47124,0.8602,0.89655,0.89645,0.30142,1.94006,1.97628,1.71335,0.0008614,0.0008614,0.0008614
9,360.097,1.75366,1.70339,1.42984,0.95996,0.96552,0.98736,0.47356,1.7878,1.49729,1.55751,0.0008416,0.0008416,0.0008416
10,401.978,1.73566,1.67032,1.40064,0.89944,0.93103,0.98149,0.48511,1.8029,1.55176,1.56296,0.0008218,0.0008218,0.0008218
11,440.475,1.76072,1.6365,1.39768,1,0.85996,0.98218,0.42702,1.82475,1.52554,1.57345,0.000802,0.000802,0.000802
12,478.694,1.68916,1.63759,1.34821,0.99088,0.89655,0.98493,0.4872,1.78105,1.43616,1.60948,0.0007822,0.0007822,0.0007822
13,517.545,1.68147,1.62826,1.38797,0.99007,0.89655,0.98626,0.51743,1.76629,1.35905,1.61062,0.0007624,0.0007624,0.0007624
14,557.541,1.69397,1.67644,1.42132,1,0.89294,0.9867,0.52121,1.68993,1.27225,1.52556,0.0007426,0.0007426,0.0007426
15,594.529,1.71319,1.54624,1.39034,0.93089,1,0.9897,0.51071,1.71142,1.23728,1.52281,0.0007228,0.0007228,0.0007228
16,630.582,1.65507,1.56225,1.38948,1,0.92364,0.98937,0.45264,1.78246,1.2915,1.59856,0.000703,0.000703,0.000703
17,668.174,1.64845,1.50855,1.37574,0.96404,0.92471,0.97711,0.44298,1.7562,1.36681,1.59025,0.0006832,0.0006832,0.0006832
18,706.374,1.67296,1.53415,1.35825,1,0.95797,0.98313,0.48769,1.64664,1.29628,1.51825,0.0006634,0.0006634,0.0006634
19,748.961,1.63253,1.5087,1.34343,0.98424,0.96552,0.98571,0.51181,1.64839,1.22089,1.49882,0.0006436,0.0006436,0.0006436
20,784.672,1.59873,1.49826,1.31588,1,0.92937,0.98391,0.50751,1.67076,1.19832,1.50184,0.0006238,0.0006238,0.0006238
21,821.021,1.60228,1.41878,1.3288,1,0.93681,0.98142,0.50764,1.67994,1.20036,1.51928,0.000604,0.000604,0.000604
22,856.563,1.6189,1.37411,1.28572,0.99842,0.96552,0.97903,0.4708,1.72359,1.18845,1.55433,0.0005842,0.0005842,0.0005842
23,893.993,1.59265,1.42887,1.30431,0.96271,0.96552,0.97725,0.44585,1.85007,1.2311,1.6562,0.0005644,0.0005644,0.0005644
24,936.325,1.62341,1.38898,1.30015,0.9643,0.96552,0.9763,0.45221,1.84432,1.23064,1.66851,0.0005446,0.0005446,0.0005446
25,974.764,1.61372,1.33894,1.30705,0.99158,0.96552,0.98731,0.54456,1.5887,1.09456,1.46683,0.0005248,0.0005248,0.0005248
26,1016.45,1.6302,1.40662,1.31586,0.9985,0.96552,0.975,0.54695,1.60165,1.08925,1.4792,0.000505,0.000505,0.000505
27,1058.58,1.65476,1.39881,1.3012,0.99372,0.96552,0.97277,0.52362,1.65049,1.08638,1.52227,0.0004852,0.0004852,0.0004852
28,1099.29,1.62851,1.41185,1.36628,0.98884,0.96552,0.97096,0.499,1.70253,1.13991,1.57485,0.0004654,0.0004654,0.0004654
29,1138.97,1.59126,1.35184,1.27336,0.98894,0.96552,0.98523,0.5043,1.702,1.08953,1.56225,0.0004456,0.0004456,0.0004456
30,1178.06,1.58822,1.31835,1.30597,0.98733,0.96552,0.98986,0.5141,1.67519,1.05952,1.53512,0.0004258,0.0004258,0.0004258
31,1216.64,1.55301,1.4294,1.29786,0.991,0.96552,0.99219,0.512,1.70306,1.06402,1.56214,0.000406,0.000406,0.000406
32,1254.49,1.62832,1.59255,1.31837,0.96662,0.99846,0.994,0.49216,1.73095,1.06626,1.58963,0.0003862,0.0003862,0.0003862
33,1294,1.60836,1.32025,1.28236,0.96009,1,0.994,0.45216,1.8349,1.11701,1.68506,0.0003664,0.0003664,0.0003664
34,1333.53,1.56132,1.33532,1.2882,0.95844,1,0.994,0.44071,1.85625,1.12155,1.6947,0.0003466,0.0003466,0.0003466
35,1371.61,1.6122,1.34076,1.30354,1,0.99102,0.995,0.45422,1.83775,1.11015,1.66307,0.0003268,0.0003268,0.0003268
36,1410.07,1.54566,1.24857,1.26384,1,0.99517,0.995,0.48558,1.75702,1.07472,1.57657,0.000307,0.000307,0.000307
37,1443.72,1.52453,1.24657,1.26647,1,0.99605,0.995,0.50953,1.69345,1.04579,1.52211,0.0002872,0.0002872,0.0002872
38,1477.65,1.72395,1.61566,1.35588,1,0.99647,0.995,0.5256,1.66785,1.03103,1.49202,0.0002674,0.0002674,0.0002674
39,1511.32,1.52407,1.26208,1.27055,1,0.99627,0.995,0.53258,1.66052,1.01539,1.48498,0.0002476,0.0002476,0.0002476
40,1545.07,1.53918,1.29389,1.26164,1,0.9935,0.995,0.53033,1.65517,1.00595,1.48199,0.0002278,0.0002278,0.0002278
41,1579.12,1.53562,1.33176,1.28334,0.96289,1,0.994,0.50513,1.68357,1.00638,1.50193,0.000208,0.000208,0.000208
42,1611.87,1.52819,1.39115,1.29437,0.96472,1,0.994,0.50581,1.69508,1.01903,1.5195,0.0001882,0.0001882,0.0001882
43,1644.9,1.51887,1.35157,1.29846,0.96666,0.99979,0.994,0.51782,1.69062,1.01752,1.5129,0.0001684,0.0001684,0.0001684
44,1677.53,1.52673,1.63909,1.29375,0.96661,0.99821,0.994,0.52084,1.65939,0.99943,1.48316,0.0001486,0.0001486,0.0001486
45,1712.44,1.50423,1.27819,1.28586,0.96657,0.99696,0.994,0.53703,1.64371,0.97703,1.47118,0.0001288,0.0001288,0.0001288
46,1748.97,1.50414,1.29253,1.30048,0.96654,0.99626,0.994,0.52719,1.63917,0.97259,1.46863,0.000109,0.000109,0.000109
47,1785.27,1.58441,1.3508,1.32546,0.96652,0.99569,0.994,0.51963,1.63431,0.96569,1.4691,8.92e-05,8.92e-05,8.92e-05
48,1821.33,1.47398,1.3092,1.31082,0.96652,0.99546,0.994,0.51493,1.63126,0.96622,1.46432,6.94e-05,6.94e-05,6.94e-05
49,1857.93,1.50446,1.27957,1.30039,0.96656,0.99683,0.994,0.5237,1.644,0.96822,1.47791,4.96e-05,4.96e-05,4.96e-05
50,1894.69,1.48326,1.35108,1.27117,0.96658,0.99741,0.994,0.52075,1.64568,0.97176,1.48074,2.98e-05,2.98e-05,2.98e-05
